post_url,category,value,percentage
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Company,Wix,0.014000000432133675
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Company size,1-10 employees,0.1979999989271164
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Company size,11-50 employees,0.17599999904632568
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Company size,51-200 employees,0.14800000190734863
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Company size,"10,001+ employees",0.0949999988079071
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Company size,1001-5000 employees,0.08699999749660492
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Industry,Design Services,0.18799999356269836
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Industry,"Technology, Information and Internet",0.16599999368190765
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Industry,Software Development,0.13600000739097595
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Industry,IT Services and IT Consulting,0.125
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Industry,Graphic Design,0.054999999701976776
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Location,Greater Buenos Aires,0.13199999928474426
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Location,New York City Metropolitan Area,0.0729999989271164
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Location,San Francisco Bay Area,0.041999999433755875
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Location,"London Area, United Kingdom",0.02800000086426735
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Location,Atlanta Metropolitan Area,0.026000000536441803
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Seniority,Senior,0.29600000381469727
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Seniority,Entry,0.27900001406669617
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Seniority,Director,0.08699999749660492
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Seniority,Owner,0.08699999749660492
https://www.linkedin.com/feed/update/urn:li:ugcPost:7424892275639406593,Seniority,CXO,0.07500000298023224
